Hospůdka Na Radnici;Sokolovská 14/324, 19000 Praha, Vysočany;www.hospudkanaradnici.cz;hospudkaradnice@email.cz;Nabídka hlavních jídel, těstovin, salátů, dezertů a specialit české kuchyně. Našim zákazníkům poskytneme nekuřácké prostory, zahrádku či parkoviště.;+420 725 708 050;České a staročeské restaurace,Restaurace,Restaurační a pohostinské služby
Sushikko;Cihelní 3199/75a, 70200 Ostrava, Moravská Ostrava;www.sushikko.cz;info@sushikko.cz;Sushi také jako polední menu, posezení a rozvoz po městě. Čerstvé sushi podáváme u nás, nebo dovezeme k Vám. Jídlo připravujeme až těsně před dodáním. Garantujeme čerstvost ryb, originální suroviny a přísady. Platba kartou na webu i kurýrovi při rozvozu.;+420 601 112 000;Japonské restaurace,Restaurace,Veganské a vegetariánské restaurace
Pizza Modena;Javorová 963/2, 18200 Praha, Kobylisy;www.pizzamodena.cz;info@pizzamodena.cz;Nabízíme čerstvé pizzy a těstoviny, možnost doručení na Vaší adresu zdarma.;+420 731 252 526;Pizzerie,Restaurace,Rozvoz pizzy
Pohostinec Karlín;Pobřežní 1/42, 18600 Praha, Karlín;karlin.pohostinec.cz;karlin@pohostinec.cz;Restaurace s moderní českou kuchyní. Důraz je kladen na kvalitní suroviny z lokálních zdrojů a jejich zpracování. V menu ale najdete i steaky ze stařeného masa s certifikací USDA, které jsou právě jedním z moderních twistů celého konceptu. Ideální místo pro setkání s přáteli i firemní akce.;+420 731 636 318;Restaurace,Mezinárodní restaurace,Restaurační a pohostinské služby
Pohostinec Monarch;Na Perštýně 349/15, 11000 Praha, Staré Město;www.monarch.cz;perstyn@monarch.cz;Toto místo má originální atmosféru. V menu najdete tradiční česká jídla, ale i steaky ze stařeného masa s certifikací USDA, které jsou jedním z moderních twistů celého konceptu. Nabízíme plzeňské pivo a polotmavého Blatenského Kohouta z jihočeské Blatné.;+420 224 239 602;Vinárny,Restaurace,Mezinárodní restaurace
Restaurace Marina;Lipno nad Vltavou, Slupečná 100, 38278;www.restaurace-marina.cz;restauracemarina@email.cz;Nově zrekonstruovaná restaurace s kapacitou 60 míst uvnitř a 80 míst na terase s krásným výhledem na jachetní přístav a Lipenské jezero. Nabízíme kvalitní steaky, čerstvé ryby, těstoviny a českou kuchyni. A nebo jen na dobrou kávu Cosmai s našimi dezerty.;+420 608 761 762;Restaurace,Mezinárodní restaurace,Rybí restaurace
Restaurace Dělnický dům;P. Bezruče 194, 46362 Hejnice;www.dum-delnicky.cz;delnickydum@email.cz;Nabídka jídel teplé a studené kuchyně a alkoholických i nealkoholických nápojů. K dispozici kuřácká i nekuřácká část s kapacitou 62 osob.;+420 482 322 297;Restaurace,České a staročeské restaurace,Pizzerie
Wellness hotel Rezidence Ambra****;Solné 1055, 76326 Luhačovice;www.hotel-ambra.cz;rezervace@hotel-ambra.cz;Wellness hotel nabízí ubytování v nadstandardně prostorných pokojích, širokou nabídku wellness procedur, zdarma hotelový bazén. Dětské hřiště, lanová dráha, lezecká stěna, trampolína, venkovní fitness, bowling, vinný sklípek, grilování. Hotel vhodný pro firemní akce, semináře a školení.;+420 577 154 111;Hotely,Kongresové a seminární hotely,Čtyřhvězdičkové hotely
Dream Food Bistro;Za Pískovnou 1210/2, 18400 Praha, Dolní Chabry;www.dreamfood.cz;info@dreamfood.cz;Naše bistro je místem, kde se spojuje moderní gastronomie a příjemná atmosféra, místem, kam se prostě budete rádi vracet. V moderním bistru s otevřenou kuchyní a vlastní pekárnou vám nabízíme po celý den pokrmy té nejvyšší kvality. Při jejich přípravě ctíme pravidla moderní gastronomie.;+420 775 129 841;Bistra,Restaurace,Restaurační a pohostinské služby
Golden Pacific Café;Radlická 520/117, 15800 Praha, Jinonice;www.goldenpacificcafe.com;info@goldenpacificcafe.com;Jsme mašinková restaurace, kavárna a cukrárna. Sami si vyrábíme narozeninové i svatební dorty, cukrářské a lahůdkářské speciality. Naší specialitou jsou Sněz kolik můžeš mašinkové jízdenky a umělecké 3D dorty. Vláčky vás obslouží až ke stolu. Postaráme se o zábavu pro vaše děti.;+420 601 558 806;Cukrárny,Kavárny,Dětské kavárny
Pizza West;náměstí Bratří Synků 5/1, 14000 Praha, Nusle;www.pizzawest.cz;info@pizzawest.cz;Dovoz k vám domů nebo do kanceláře. Rozvoz jídel po celé Praze. Pizzy, steaky, burgery, těstoviny, kuřecí křidélka, saláty, buritta, zapečené brambory. Pizza on-line objednávkový systém. Restaurace otevřená do 00:30h.;+420 241 741 489;Pizzerie,Italské restaurace,Restaurace
Pizza Grande;Limuzská 2110/8, 10800 Praha, Strašnice;www.pizzagrande.cz;limuzska@pizzagrande.cz;Nové prostory na staré adrese, nyní až 20 míst, letní velká zahrádka pro cca 40 lidí, útulný, nekuřácký prostor. Nabízíme pořád naší skvělou pizzu 33 a 50 cm, dále pak pivo Svijany 11, vynikající italské stáčené víno, příjemná obsluha, to už stojí za návštěvu. Rozvoz zdarma do 5 km.;+420 733 181 134;Restaurace,Pizzerie,Italské restaurace
Restaurace Na golfu;Kostelec u Křížků 171, 25168;www.sportklub171.cz;Nagolfu@sportklub171.cz;Pohodlí a vynikající nabídka našeho jídelního lístku, to vše najdete v naší restauraci. Okouzlující výhled na 18 jamkový green i rybník s dominanou věže kostela sv. Martina neustále odvádí pozornost od plného talíře. Pozitivní myšlenky navodí nejen výhledy.;+420 323 602 599;České a staročeské restaurace,Restaurace,Mezinárodní restaurace
Restaurace Pod Ledem;Ringhofferova 336, 25169 Velké Popovice;www.restauracepodledem.cz;j.p.tabak@seznam.cz;Restaurace je zcela nekuřácká. Česká i mezinárodní kuchyně, čepovaný kozel, letní zahrádka, dětské hřiště, vlastní udírna s grilem. Svatby, konferenční místnost, sezónní, sportovní a firemní akce. Vlastní parkoviště, TV-SAT, připojení Wifi.;+420 323 665 225;Restaurace,Hotelové restaurace,Pronájem prostor pro školení, akce, svatby a večírky
La Bodeguita del Medio;Kaprova 19/5, 11000 Praha, Josefov;www.labodeguitadelmedio.cz;bodeguita@bodeguita.cz;Vítáme Vás v kubánském restaurant music baru, v místě, kde v Praze najdete kousek horké živelné Havany. Od pondělí do neděle Vás zde ve 20:00 čeká živá hudba v podobě kubánské kapely a tanečníků.;+420 724 461 678;Restaurace,Mezinárodní restaurace,Bary
La Casa Argentina;Dlouhá 730/35, 11000 Praha, Staré Město;www.lacasaargentina.cz;info@lacasaargentina.cz;Provozování argentinské restaurace s barem a otevřeným grilem. Možnost pořádání svateb a jiných vzácných událostí. Zajištění tanečních i iluzionistických vystoupení. Nabízíme jedinečný kulinářský zážitek v úchvatném a podmanivém prostředí, živou hudbu a možnost vyzkoušet šťavnaté steaky.;+420 222 311 512;Steak house,Restaurace,Mezinárodní restaurace
U Klokoně;Tolstého 456/8, 10100 Praha, Vršovice;www.uklokone.cz;khanas@centrum.cz;Naše restaurace, pivnice, bar na Praze 10 Vršovice - Vám nabízí českou i mezinárodní kuchyni. Rozvoz jídla domu, hamburgery, pečená žebra, BBQ křídla, steaky, těstoviny, saláty, bezmasá jídla, pivo, moučníky či polední menu a letní zahrádku wi-fi. Možnost pořádání soukromých a firemních akcí.;+420 774 561 557;Restaurace,České a staročeské restaurace,Restaurační a pohostinské služby
Hostinec u Svatého Jána;Horní Bludovice 307, 73937;www.usvatehojana.com;usvatehojana@seznam.cz;Rodinný hostinec s českou kuchyní a usměvavým personálem. Pořádání oslav, narozenin, svateb, koncertů, teambuilding. Krásné klidné prostředí s výhledem na panorama Beskyd. K dispozici banketka pro 20 osob, krytá vytápěná terasa pro 40 osob, venkovní stan pro 100 osob (kryté koncerty pro až 200 osob);+420 736 534 534;Restaurace,České a staročeské restaurace,Hospody a hostince
PIZZA GRANDE;Křejpského 2276/6a, 14900 Praha, Chodov;www.pizzagrande.cz;krejpskeho@pizzagrande.cz;Nabízíme ve zrekonstruovaných prostorách 50 cm pizzu, výborné pivo Svijanský Máz 11, italské stáčené víno, domácí Tiramisu, zároveň Vám to všechno můžeme dovézt zdarma až pod nos. Na léto otevíráme velkou zahrádku pro 48 lidí s dětským koutkem. Najdete u nás rodinnou atmosféru a příjemné prostředí.;+420 730 554 434;Pizzerie,Restaurace,Italské restaurace
Grilrestaurant Na Valtické;Na Valtické 821/22a, 69141 Břeclav, Charvátská Nová Ves;www.grilrestaurant.com;grilrestaurant@gmail.com;Provozujeme Restauraci s pivnicí. K dispozici je dětské hřiště, velké parkoviště a nekuřácká cukrárna, kde nabízíme dva druhy točené zmrzliny a kompletní sortiment zákusků. V restauraci čepujeme dva druhy tankového piva a devět druhů čepovaného vína. O víkendech pořádáme country a pop koncerty.;+420 703 466 666;Pivnice,Restaurace,České a staročeské restaurace
Slezská Krčma;Beskydská 1146, 73961 Třinec, Lyžbice;www.slezskakrcma.cz;slezskakrcma@seznam.cz;Útulný interiér, klidná zahrádka, idylické prostředí lesoparku a speciality ze slezské, moravské i české kuchyně. Poctivé porce a chuť jako od maminky je to, co nás odlišuje. Pravidelně pro vás připravujeme nabídku jak denního obědového menu, tak i specialit z čerstvých sezónních surovin.;+420 558 333 255;Restaurace,České a staročeské restaurace,Restaurační a pohostinské služby
Motorest U vodáka;Výpadová 1037/26, 15300 Praha, Radotín;www.motorest-uvodaka.cz;info@motorest-uvodaka.cz;Provozujeme restauraci s českou i zahraniční kuchyní. V době oběda podáváme hotová jídla klasické české kuchyně. Kapacita restaurace je 90 osob. Pronájem salonku pro 40 a 20 osob. V restauraci se nachází dětský koutek. V létě je otevřena zahrádka, kde je možnost grilování. K dispozici je Wi-Fi.;+420 724 118 295;Restaurace,České a staročeské restaurace,Rybí restaurace
Restaurace U čápa;9. května 1163, 74258 Příbor;www.restauraceucapa.eu;restaurace@ucapa.cz;Stylová restaurace se nachází v rekonstruovaných sklepních prostorách prvorepublikové vily. Nabízíme až 8 druhů čepovaného piva, českou kuchyni a speciality šéfkuchaře. Restaurace je vhodná k pořádání rodinných oslav, svateb, firemních večírků, školních srazů a jiných významných událostí.;+420 775 579 660;Restaurace,České a staročeské restaurace,Mezinárodní restaurace
Papa´s Living Restaurant;Latrán 13, 38101 Český Krumlov, Latrán;www.papas.cz;papas@papas.cz;Restaurace v historickém centru Českého Krumlova s kapacitou 65 míst uvnitř, 70 míst na terase s překrásným výhledem, terasou podél řeky Vltava nabízí českou a mezinárodní kuchyni. Dále máme čerstvé domácí těstoviny, steaky na grilu, vepřová žebra, čerstvé saláty, denní nabídku, bohatou vinotéku.;+420 380 711 583;Restaurace,České a staročeské restaurace,Restaurační a pohostinské služby
Valašská hospoda U Janíka;Horečky 890, 74401 Frenštát pod Radhoštěm;www.ujanika.cz;info@ujanika.cz;Stylová valašská hospoda s rodinnou tradicí již od roku 1873 s nabídkou čerstvých pokrmů z kvalitních surovin. K dispozici je dětské hřiště a možnost venkovního posezení v letním období.;+420 720 961 888;České a staročeské restaurace,Restaurace,Pronájem prostor pro školení, akce, svatby a večírky
Rytířská Krčma;Lidická 695/9, 60200 Brno, Veveří;www.rytirskakrcma.cz;Milos.mcm@seznam.cz;Provoz historické krčmy. Nabízíme pivo či víno včetně grilovaných mas a studené kuchyně. Svítíme jen svíčkama, pivo točíme do keramických korbelů a tupláků. Medovinu pijeme z volských rohů. Obsluhujeme v rytířských kostýmech, hraje u nás středověká hudba a několikrát v týdnu i na hudební nástroje.;+420 774 544 911;Hospody a hostince,České a staročeské restaurace,Restaurační a pohostinské služby
KFC;Národní 961/25, 11000 Praha, Staré Město;www.kfc.cz;kfcnarodni@amrest.eu;Provoz mezinárodního rychlého občerstvení se zaměřením na speciality z kuřecího masa. Základní nabídku tvoří smažené kuřecí kousky, grilované maso, sendviče, hranolky, saláty, dezerty a nápoje. Pro nejmenší zákazníky je připraveno dětské menu. K dispozici je WiFi připojení.;+420 235 013 416;Rychlá občerstvení a snack bary,Texaské a mexické restaurace,Rozvoz hotových jídel
Restaurace Globus;Sárská 133/5, 15500 Praha, Třebonice;www.globus.cz/praha-zlicin/nabidka/restaurace.html;reditel.zlicin@globus.cz;Provozujeme restauraci. Nabízíme sortiment teplé i studené kuchyně, rychlého občerstvení, polévek, teplých i studených nápojů včetně kávy a dezertů. Připravujeme čerstvá jídla převážně české kuchyně, v nabídce máme i jídla mezinárodní kuchyně.;+420 800 241 242;Restaurace,České a staročeské restaurace,Mezinárodní restaurace
eFi Hotel;Bratislavská 234/52, 60200 Brno, Zábrdovice;www.efihotel.cz;info@efihotel.cz;Nabízíme ubytování v moderně zrekonstruované budově nedaleko centra Brna s vlastním parkováním a fitness&wellness centrem. K dispozici je 85 prostorných apartmánů s kuchyňskou linkou. Ve všech pokojích je k dispozici Wi-Fi a TV. Součástí hotelu je restaurace Stará Tkalcovna a eFi Wellness & Fitness.;+420 515 555 500;Hotely,Tříhvězdičkové hotely,Kongresové a seminární hotely
Wellness hotel Villa Grohmann;Lipová-lázně 169, 79061;www.lazne-lipova.cz;info@lazne-lipova.cz;Hotelové čtyřhvězdičkové ubytování, restaurace, kongresové služby, wellness.;+420 777 457 111;Ubytování v luxusních apartmánech,Horské hotely,Čtyřhvězdičkové hotely
McDonald's;Pilnáčkova 380/3, 50003 Hradec Králové, Věkoše;www.mcdonalds.cz;info@mcdonalds.cz;Provoz rychlého občerstvení se specializací na hamburgery. Nabídka zahrnuje také saláty, sendviče, dezerty, přílohy, teplé i studené nápoje a další. Pro děti jsou k dispozici menu s hračkami a je zde možnost pořádání narozeninových oslav.;+420 724 104 306;Rychlá občerstvení a snack bary,Restaurace,Restaurační a pohostinské služby
Horský hotel Sepetná;Ostravice ev.č. 956, 73914;www.hotel.sepetna.cz;rezervace@sepetna.cz;Ubytování v Beskydech pod Lysou horou. Ideální poloha hotelu pro aktivní turistiku i relax. Nabízíme celou řadu sportovních a relaxačních služeb. Volný vstup do krytého bazénu pro ubytované hosty. Víkendové pobytové balíčky, sezónní pobyty a dovolené, firemní akce, večírky, teambuilding.;+420 603 852 111;Hotely,Horské hotely,Tříhvězdičkové hotely
D1 restaurant;Veveří 260, 66481 Ostrovačice;www.hoteld1.cz;restaurace@d-1.cz;V nabídce restaurace najdete kvalitní výběr vín z jižní Moravy i zahraničí, točená i lahvová piva, nealkoholické nápoje a velký výběr z jídelního lístku.;+420 546 443 191;Pivnice,České a staročeské restaurace,Mezinárodní restaurace
Autocamping Rozkoš, s.r.o.;třída T. G. Masaryka 836, 55203 Česká Skalice;www.atcrozkos.cz;atc@atcrozkos.cz;Kemp nabízí ubytování (chaty, ubytovna, bungalovy, stany, karavany) v oblasti Česká Skalice - Ratibořice - Babiččino údolí. Okolí můžete využít pro koupání, rybaření, windsurfing, turistiku, cykloturistiku (Náchod, Dobrošov, ZOO Dvůr Králové, Adršpach, Adršpašsko-teplické skály, Orlické hory).;+420 491 451 112;Rekreační ubytování,Ubytování v apartmánech,Rekreační chaty a chalupy
Restaurace a penzion Lutena;Karvinská 1237, 73553 Dolní Lutyně;www.lutena.cz;info.penzion-lutena@seznam.cz;Vysoká kvalita služeb, týdenní a víkendové menu, snídaně, venkovní gril bar, vlastní sádky na ryby, rozvoz pizzy, akce měsíce, oslavy, svatby, venkovní obřady, školení, penzion, ubytování.;+420 778 745 574;Penziony,Restaurace,České a staročeské restaurace
Ristorante Pollo;Na Tabulovém vrchu 1304/4, 77900 Olomouc, Nová Ulice;www.ristorantepollo.cz;info@ristorantepollo.cz;Pizzerie a restaurace se zaměřením na originální italská jídla a vína. Nabídka také poledního menu. Každý víkend nové menu. Naleznete u nás pizzu z kvalitní italské mouky, těstoviny, krémová rizota, steaky, saláty a podobně. Používáme vždy vybrané ingredience vysoké kvality a regionální produkty.;+420 608 684 131;Restaurace,Pizzerie,Italské restaurace
Flames grill pub & restaurant;Veveří 3219/113, 61600 Brno, Žabovřesky;www.flames-grill.cz;sales@hotelsono.cz;Moderní a stylová restaurace v Brně. Žhavé uhlí z dubového dříví, správně rozpálený gril a maso nejvyšší kvality. Pavel Obrovský se svým týmem připravuje před vašimi zraky maso v mnoho podobách.;+420 777 794 559;Restaurace,Mezinárodní restaurace,Restaurační a pohostinské služby
Bowling RADAVA;Milady Horákové 394/37, 17000 Praha, Holešovice;www.radava.cz;miladka@radava.cz;Nabízíme 12 profesionálních bowlingových drah s barem a pivní zahrádkou, součástí je turecká restaurace. Připravíme pro Vás firemní večírek, dětskou oslavu, třídní sraz, sraz sportovního kolektivu, rozlučku se svobodou nebo si jen tak přijďte zahrát. Pro všechny Vaše akce zajistíme catering na míru.;+420 233 101 211;Restaurace s bowlingem,Bowlingová centra,Pořadatelé firemních a společenských akcí
Penzion a restaurace Zlatovláska;Pluhův Žďár, Jižná 24, 37821;www.penzionzlatovlaska.cz;info@penzionzlatovlaska.cz;Penzion v jižních Čechách, jen 1 kilometr od zámku Červená Lhota, nabízí ubytování pro turisty, kteří hledají odpočinek v pohádkové oblasti. Penzion je vhodný pro rodinné dovolené, pořádání svateb a dalších oslav. Kapacita 40 lůžek poskytne komfort i početným skupinám.;+420 724 165 071;Ubytování v luxusních apartmánech,Rodinné penziony,Čtyřhvězdičkové penziony
Wellness hotel Svornost;Harrachov 496, 51246;www.hotelsvornost.cz;info@hotelsvornost.cz;Wellness hotel nabízí ubytování v Harrachově. Můžete využít služeb velmi oblíbeného hotelu v Harrachově. Komfortní ubytování, wellness centrum s velkým výběrem procedur, vnitřní bazén, restaurace, která nabízí bufetové stravování a další nabídka, která Vám zpříjemní pobyt v Harrachově.;+420 481 528 152;Hotely,Kongresové a seminární hotely,Horské hotely
Konferenční hotel Luna;Kouty 77, 58401;www.hotelluna.cz;hotelluna@hotelluna.cz;Firemní akce, školení, teambuilding, konference, kongres, večírek, pobyt mezi Prahou a Brnem v krásné přírodě Vysočiny, a přitom kousek od D1. Konferenční centrum - konferenční místnosti a salonky, kongresový sál. Až pro 220 osob. Wellness centrum s krytým bazénem. Krásná svatba na břehu rybníka.;+420 569 738 800;Kongresové a seminární hotely,Hotely,Ubytovací služby
Restaurant u Macků;Dvorského 92/32, 77900 Olomouc, Svatý Kopeček;www.restauraceumacku.cz;info@restauraceumacku.cz;Provozujeme restauraci. Široká nabídka jídel, společenské a firemní akce, svatby, večírky, rauty. Možnost venkovního posezení na zahrádce. V blízkosti zoologická zahrada a bazilika Minor. Parkoviště naproti restaurace. Letní grilování, zvěřinové hody, vepřové hody, večery s živou hudbou.;+420 585 385 344;Restaurace,České a staročeské restaurace,Restaurace se zvěřinovými specialitami
